"Name","Description","Sale PRice","MRP","Measuring Unit","Category1","Sub Category1","Image1","Image2","Image3","Image4","Image5"
"Glow Cream , 25 gms","  Content : Glycolic 3%, Vitamin C 2%, Kojic 1%, Niacinamide 1%, Arbuitn 1%, Vitamin E, Grape seed extract and licorice extract                                                                                                         Key Benefits : Glow cream moisturises  and gives a natural facelift.
 ","250","600","UNT","Creams","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fca28bc5-b603-461c-baa7-80ad78a70ecf/Glow_Cream_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fca28bc5-b603-461c-baa7-80ad78a70ecf/Glow_Cream_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fca28bc5-b603-461c-baa7-80ad78a70ecf/Glow_Cream_2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fca28bc5-b603-461c-baa7-80ad78a70ecf/Glow_Cream_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/fca28bc5-b603-461c-baa7-80ad78a70ecf/Glow_Cream_4.png"
"Glow Peel, 30ml"," Contents : 10% Arginine, 10% Lactic Acid, 10% Ascorbyl Glucoside, 2% alpha Arbutin   Key Benefits :Glow peel helps in minimizing the  appearance of fine lines, wrinkles, and
 hyperpigmentation issues like age spots, discoloration, and uneven skin tone . ","899","2250","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/04525718-8a30-44c7-9efa-01105540f02e/Glow_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/04525718-8a30-44c7-9efa-01105540f02e/Glow_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/04525718-8a30-44c7-9efa-01105540f02e/Glow_Peel_01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/04525718-8a30-44c7-9efa-01105540f02e/Glow_Peel_03.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/04525718-8a30-44c7-9efa-01105540f02e/Glow_Peel_04.png"
"Glycolic Lactic Peel , 30 ml"," Contents : Glycolic Acid 30%, Lactic Acid  40%                                                                                            Key Benefits : Skin Lightening, Skin Hydration,  Skin Whitening, Skin Smoothening,  Pigmentation Removal, Fairness, Anti-ageing,  Nourishment   ","899","2250","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/30d03f41-5316-4a37-a19d-3a4a70efd10f/Glycolic_Lactic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/30d03f41-5316-4a37-a19d-3a4a70efd10f/Glycolic_Latic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/30d03f41-5316-4a37-a19d-3a4a70efd10f/Glycolic_Latic_Peel_01_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/30d03f41-5316-4a37-a19d-3a4a70efd10f/Glycolic_Latic_Peel_02_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/30d03f41-5316-4a37-a19d-3a4a70efd10f/Glycolic_Latic_Peel_04_.png"
"Glycolic Peel 10% , 30ml"," Contents :10% Glycolic Acid Key Benefits :   It reduces brown sunspots and
 evens skin tone. Reduces Fine Lines and
 Wrinkles. Brightens and Smooths complexion  ","499","900","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/87b287cd-95db-4891-adaf-d8715b5ddc60/Glycolic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/87b287cd-95db-4891-adaf-d8715b5ddc60/Glycolic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/87b287cd-95db-4891-adaf-d8715b5ddc60/Glycolic_Peel_10___03.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/87b287cd-95db-4891-adaf-d8715b5ddc60/Glycolic_Peel_10___04.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/87b287cd-95db-4891-adaf-d8715b5ddc60/Glycolic_Peel_10__02.png"
"Acne Gel 25 Gm"," Content : Clindamycin Phosphate 3% ,   Nicotinamide Phosphate 3% ,  Salicylic acid 1%        Key Benefits : It helps reduce and  prevents acne blemishes, smooth skin  texture, and keeps the oils in check.  ","199","350","PCS","Creams","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_4.png"
"Glycolic Peel 30%, 30 ml"," Contents : 30% Glycolic Acid  Key Benefits :   It reduces brown sunspots and
 evens skin tone. Reduces Fine Lines and  Wrinkles. Brightens and Smooths complexion . ","599","1200","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/410b3fdb-6a59-4921-bfbf-177dbf13f57a/Glycolic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/410b3fdb-6a59-4921-bfbf-177dbf13f57a/Glycolic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/410b3fdb-6a59-4921-bfbf-177dbf13f57a/Glycolic_Peel_30__01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/410b3fdb-6a59-4921-bfbf-177dbf13f57a/Glycolic_Peel_30__02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/410b3fdb-6a59-4921-bfbf-177dbf13f57a/Glycolic_Peel_30__04.png"
"Glycolic Peel 40%, 30 ml"," Contents : 40% Glycolic Acid                                                                                                                             
Key Benefits :   It reduces brown sunspots and  evens skin tone. Reduces Fine Lines and
 Wrinkles. Brightens and Smooths complexion .
 ","650","1350","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8be48912-db59-4476-9abd-1de9f3f10325/Glycolic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8be48912-db59-4476-9abd-1de9f3f10325/Glycolic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8be48912-db59-4476-9abd-1de9f3f10325/Glycolic_Peel_40__01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8be48912-db59-4476-9abd-1de9f3f10325/Glycolic_Peel_40__03.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8be48912-db59-4476-9abd-1de9f3f10325/Glycolic_Peel_40__04.png"
"Glycolic Peel 50%, 30 ml"," Contents : 50% Glycolic Acid                                                                                                                             
Key Benefits :   It reduces brown sunspots and  evens skin tone. Reduces Fine Lines and
 Wrinkles. Brightens and Smooths complexion . ","699","1500","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/eef33951-0361-4f50-9b08-87b3bcdb958e/Glycolic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/eef33951-0361-4f50-9b08-87b3bcdb958e/Glycolic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/eef33951-0361-4f50-9b08-87b3bcdb958e/Glycolic_Peel_50___03.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/eef33951-0361-4f50-9b08-87b3bcdb958e/Glycolic_Peel_50__01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/eef33951-0361-4f50-9b08-87b3bcdb958e/Glycolic_Peel_50__02.png"
"Glycolic Peel 70%, 30 ml"," Contents : 70% Glycolic Acid                                                                                                                             
Key Benefits :   It reduces brown sunspots and  evens skin tone. Reduces Fine Lines and
 Wrinkles. Brightens and Smooths complexion . ","799","1800","UNT","Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/77a99fe3-50e5-4673-8d68-34564b87d759/Glycolic_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/77a99fe3-50e5-4673-8d68-34564b87d759/Glycolic_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/77a99fe3-50e5-4673-8d68-34564b87d759/Glyco-70-1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/77a99fe3-50e5-4673-8d68-34564b87d759/Glyco-70-2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/77a99fe3-50e5-4673-8d68-34564b87d759/Glyco-70-4.png"
"Hexyl Resorcinol Peel, 30 ml"," Content : Glycolic acid 34%, Citric acid 10%, Lactic acid 10%, Salicylic acid 3%, Kojic acid 5%, Hexyl resorcinol 2%, Vitamin C 1%                                                                                                        Key Benefits :It can brighten dark spots, treat age  spots, even out skin tone and lighten skin color ","899","2250","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/7e18176c-67d1-48f9-96d0-a7966bb83e3c/Hexyl_Resourcinol_Peel_Mockup.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/7e18176c-67d1-48f9-96d0-a7966bb83e3c/Hexyl_Resorcinol_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/7e18176c-67d1-48f9-96d0-a7966bb83e3c/Hexyl_Resorcinol_Peel_01_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/7e18176c-67d1-48f9-96d0-a7966bb83e3c/Hexyl_Resorcinol_Peel_02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/7e18176c-67d1-48f9-96d0-a7966bb83e3c/Hexyl_Resorcinol_Peel_04.png"
